ERUID,ERNAME,NAICS,Concentration
5970,"Nechako, BC",321,13.0%
4880,"Wood Buffalo-Cold Lake, AB",211,12.2%
4760,"Northern, SK",212,11.3%
4610,"Southeast, MB",238,10.2%
5980,"Northeast, BC",237,9.0%
2450,"Lanaudière, QC",238,8.4%
5980,"Northeast, BC",213,8.4%
1350,"Edmundston-Woodstock, NB",484,8.2%
1240,"Southern, NS",311,8.1%
1040,"Notre Dame-Central Bonavista Bay, NL",311,7.9%
4660,"Interlake, MB",238,7.9%
4740,"Yorkton-Melville, SK",212,7.9%
5950,"Cariboo, BC",321,7.8%
4880,"Wood Buffalo-Cold Lake, AB",238,7.7%
4640,"North Central, MB",111,7.6%
4850,"Red Deer, AB",213,7.5%
2445,"Laval, QC",238,7.5%
5970,"Nechako, BC",113,7.4%
4860,"Edmonton, AB",238,7.4%
4850,"Red Deer, AB",238,7.1%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,311,7.1%
1240,Southern / Sud,114,6.9%
2455,Laurentides,238,6.8%
4720,Swift Current-Moose Jaw,111,6.7%
1310,Campbellton-Miramichi,311,6.6%
4870,Athabasca-Grande Prairie-Peace River,213,6.1%
4610,Southeast / Sud-est,484,6.0%
4830,Calgary,238,6.0%
4640,North Central / Centre nord,238,5.9%
4870,Athabasca-Grande Prairie-Peace River,238,5.8%
2490,Nord-du-Québec,212,5.7%
1350,Edmundston-Woodstock,111,5.6%
1110,Prince Edward Island / Île-du-Prince-Édouard,311,5.6%
2465,Abitibi-Témiscamingue,212,5.6%
5930,Thompson-Okanagan,238,5.6%
3520,Muskoka-Kawarthas,238,5.6%
2410,Gaspésie-Îles-de-la-Madeleine,311,5.6%
1230,Annapolis Valley,238,5.5%
4880,Wood Buffalo-Cold Lake,213,5.5%
3540,Kitchener-Waterloo-Barrie,238,5.4%
2475,Saguenay-Lac-Saint-Jean,238,5.4%
2435,Montérégie,238,5.4%
2433,Centre-du-Québec,238,5.4%
2465,Abitibi-Témiscamingue,238,5.3%
1230,Annapolis Valley,111,5.3%
2460,Outaouais,238,5.3%
2470,Mauricie,238,5.3%
4610,Southeast / Sud-est,112,5.3%
4620,South Central / Centre sud,111,5.3%
4680,North / Nord,331,5.2%
1250,Halifax,238,5.2%
1010,Avalon Peninsula,238,5.2%
4810,Lethbridge-Medicine Hat,238,5.2%
3580,Stratford-Bruce Peninsula,238,5.2%
4740,Yorkton-Melville,238,5.2%
4620,South Central / Centre sud,333,5.1%
5950,Cariboo,238,5.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,311,5.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,237,5.1%
1330,Saint John-St. Stephen,238,5.0%
2425,Chaudière-Appalaches,238,5.0%
3550,Hamilton-Niagara Peninsula,238,5.0%
1320,Moncton-Richibucto,238,5.0%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,238,5.0%
5980,Northeast / Nord-est,238,5.0%
6210,Nunavut,236,5.0%
3510,Ottawa,238,5.0%
4640,North Central / Centre nord,484,4.9%
4620,South Central / Centre sud,238,4.9%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,238,4.9%
6010,Yukon,481,4.9%
4870,Athabasca-Grande Prairie-Peace River,484,4.8%
3560,London,238,4.8%
6210,Nunavut,481,4.7%
4660,Interlake,484,4.7%
4680,North / Nord,212,4.7%
3515,Kingston-Pembroke,238,4.7%
4730,Saskatoon-Biggar,238,4.7%
1310,Campbellton-Miramichi,238,4.7%
2430,Estrie,238,4.7%
6110,Northwest Territories / Territoires du Nord-Ouest,213,4.6%
5940,Kootenay,212,4.6%
4610,Southeast / Sud-est,337,4.6%
3560,London,336,4.5%
4640,North Central / Centre nord,311,4.5%
4820,Camrose-Drumheller,238,4.5%
5980,Northeast / Nord-est,484,4.5%
4840,Banff-Jasper-Rocky Mountain House,238,4.5%
3570,Windsor-Sarnia,238,4.5%
4710,Regina-Moose Mountain,238,4.4%
6110,Northwest Territories / Territoires du Nord-Ouest,212,4.4%
6110,Northwest Territories / Territoires du Nord-Ouest,237,4.4%
6110,Northwest Territories / Territoires du Nord-Ouest,481,4.4%
3590,Northeast / Nord-est,238,4.4%
4630,Southwest / Sud-ouest,238,4.3%
3570,Windsor-Sarnia,336,4.3%
5960,North Coast / Côte-nord,238,4.2%
4740,Yorkton-Melville,111,4.2%
1350,Edmundston-Woodstock,311,4.2%
4670,Parklands,111,4.1%
4820,Camrose-Drumheller,213,4.0%
2465,Abitibi-Témiscamingue,213,4.0%
3570,Windsor-Sarnia,111,4.0%
2420,Capitale-Nationale,238,4.0%
3570,Windsor-Sarnia,333,4.0%
5970,Nechako,115,4.0%
1350,Edmundston-Woodstock,238,4.0%
4840,Banff-Jasper-Rocky Mountain House,237,4.0%
4630,Southwest / Sud-ouest,311,4.0%
3530,Toronto,238,3.9%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,112,3.9%
4850,Red Deer,237,3.9%
1320,Moncton-Richibucto,311,3.9%
4610,Southeast / Sud-est,236,3.9%
2410,Gaspésie-Îles-de-la-Madeleine,114,3.9%
4870,Athabasca-Grande Prairie-Peace River,237,3.9%
4880,Wood Buffalo-Cold Lake,484,3.8%
4750,Prince Albert,238,3.8%
2480,Côte-Nord,331,3.8%
2480,Côte-Nord,212,3.8%
1110,Prince Edward Island / Île-du-Prince-Édouard,111,3.7%
4760,Northern / Nord,481,3.7%
3595,Northwest / Nord-ouest,238,3.7%
1010,Avalon Peninsula,311,3.6%
5940,Kootenay,238,3.6%
4650,Winnipeg,238,3.6%
1010,Avalon Peninsula,236,3.6%
3540,Kitchener-Waterloo-Barrie,336,3.5%
2425,Chaudière-Appalaches,321,3.5%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,483,3.5%
4720,Swift Current-Moose Jaw,238,3.5%
6010,Yukon,238,3.4%
6110,Northwest Territories / Territoires du Nord-Ouest,238,3.4%
2433,Centre-du-Québec,484,3.4%
1230,Annapolis Valley,311,3.4%
3520,Muskoka-Kawarthas,236,3.4%
1330,Saint John-St. Stephen,311,3.3%
1210,Cape Breton,238,3.3%
4860,Edmonton,236,3.3%
2490,Nord-du-Québec,321,3.3%
2415,Bas-Saint-Laurent,238,3.3%
2425,Chaudière-Appalaches,311,3.3%
4620,South Central / Centre sud,336,3.3%
2433,Centre-du-Québec,333,3.3%
5970,Nechako,484,3.3%
2450,Lanaudière,236,3.3%
1350,Edmundston-Woodstock,321,3.3%
1110,Prince Edward Island / Île-du-Prince-Édouard,238,3.3%
1340,Fredericton-Oromocto,238,3.3%
1220,North Shore / Côte-nord,238,3.2%
5970,Nechako,237,3.2%
4750,Prince Albert,111,3.2%
5970,Nechako,238,3.2%
4680,North / Nord,481,3.2%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,238,3.1%
5950,Cariboo,115,3.1%
1210,Cape Breton,114,3.1%
1040,Notre Dame-Central Bonavista Bay,238,3.1%
5950,Cariboo,113,3.1%
3550,Hamilton-Niagara Peninsula,111,3.1%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,236,3.1%
2490,Nord-du-Québec,237,3.1%
4730,Saskatoon-Biggar,212,3.0%
4620,South Central / Centre sud,484,3.0%
2425,Chaudière-Appalaches,332,3.0%
4830,Calgary,211,3.0%
2480,Côte-Nord,238,3.0%
4860,Edmonton,237,3.0%
3530,Toronto,523,3.0%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,213,2.9%
4810,Lethbridge-Medicine Hat,111,2.9%
1220,North Shore / Côte-nord,326,2.9%
2480,Côte-Nord,482,2.9%
4810,Lethbridge-Medicine Hat,311,2.9%
4820,Camrose-Drumheller,237,2.9%
5960,North Coast / Côte-nord,331,2.8%
5960,North Coast / Côte-nord,482,2.8%
4820,Camrose-Drumheller,111,2.8%
2475,Saguenay-Lac-Saint-Jean,484,2.8%
2490,Nord-du-Québec,236,2.8%
2435,Montérégie,311,2.8%
5940,Kootenay,321,2.8%
2430,Estrie,326,2.8%
3595,Northwest / Nord-ouest,212,2.8%
2465,Abitibi-Témiscamingue,321,2.8%
1240,Southern / Sud,238,2.8%
2433,Centre-du-Québec,112,2.8%
5960,North Coast / Côte-nord,311,2.8%
4820,Camrose-Drumheller,112,2.7%
5930,Thompson-Okanagan,321,2.7%
2460,Outaouais,236,2.7%
4630,Southwest / Sud-ouest,111,2.7%
2425,Chaudière-Appalaches,236,2.7%
4740,Yorkton-Melville,522,2.7%
2425,Chaudière-Appalaches,484,2.7%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,212,2.7%
5930,Thompson-Okanagan,111,2.7%
4670,Parklands,112,2.7%
1320,Moncton-Richibucto,484,2.7%
2410,Gaspésie-Îles-de-la-Madeleine,236,2.7%
1310,Campbellton-Miramichi,236,2.7%
5950,Cariboo,484,2.6%
4820,Camrose-Drumheller,484,2.6%
1210,Cape Breton,236,2.6%
5950,Cariboo,236,2.6%
4880,Wood Buffalo-Cold Lake,237,2.6%
2415,Bas-Saint-Laurent,484,2.6%
1310,Campbellton-Miramichi,114,2.6%
2465,Abitibi-Témiscamingue,484,2.6%
1240,Southern / Sud,336,2.6%
4870,Athabasca-Grande Prairie-Peace River,321,2.6%
2455,Laurentides,236,2.6%
3580,Stratford-Bruce Peninsula,112,2.6%
2425,Chaudière-Appalaches,337,2.6%
2425,Chaudière-Appalaches,326,2.6%
1230,Annapolis Valley,112,2.6%
2475,Saguenay-Lac-Saint-Jean,236,2.6%
2415,Bas-Saint-Laurent,321,2.6%
4810,Lethbridge-Medicine Hat,484,2.6%
4730,Saskatoon-Biggar,236,2.6%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,236,2.6%
6210,Nunavut,238,2.5%
6010,Yukon,236,2.5%
