ERUID,ERNAME,NAICS,Concentration
5970,"Nechako, BC",321,0.12961812
4880,"Wood Buffalo-Cold Lake, AB",211,0.122396427
4760,"Northern, SK",212,0.113158746
4610,"Southeast, MB",238,0.101621878
5980,"Northeast, BC",237,0.090065236
2450,"Lanaudière, QC",238,0.084166125
5980,"Northeast, BC",213,0.084093343
1350,"Edmundston-Woodstock, NB",484,0.082381496
1240,"Southern, NS",311,0.080734949
1040,"Notre Dame-Central Bonavista Bay, NL",311,0.079085752
4660,"Interlake, MB",238,0.078815032
4740,"Yorkton-Melville, SK",212,0.078796631
5950,"Cariboo, BC",321,0.078055493
4880,"Wood Buffalo-Cold Lake, AB",238,0.076774076
4640,"North Central, MB",111,0.075687906
4850,"Red Deer, AB",213,0.074944699
2445,"Laval, QC",238,0.074643528
5970,"Nechako, BC",113,0.073958981
4860,"Edmonton, AB",238,0.073874801
4850,"Red Deer, AB",238,0.070707543
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,311,0.070576541
1240,Southern / Sud,114,0.069279531
2455,Laurentides,238,0.068448921
4720,Swift Current-Moose Jaw,111,0.067453955
1310,Campbellton-Miramichi,311,0.066338809
4870,Athabasca-Grande Prairie-Peace River,213,0.060994743
4610,Southeast / Sud-est,484,0.060260586
4830,Calgary,238,0.059944122
4640,North Central / Centre nord,238,0.05919276
4870,Athabasca-Grande Prairie-Peace River,238,0.058261221
2490,Nord-du-Québec,212,0.056577086
1350,Edmundston-Woodstock,111,0.056253569
1110,Prince Edward Island / Île-du-Prince-Édouard,311,0.056250882
2465,Abitibi-Témiscamingue,212,0.056247571
5930,Thompson-Okanagan,238,0.056075683
3520,Muskoka-Kawarthas,238,0.056050683
2410,Gaspésie-Îles-de-la-Madeleine,311,0.055918604
1230,Annapolis Valley,238,0.055364587
4880,Wood Buffalo-Cold Lake,213,0.055170685
3540,Kitchener-Waterloo-Barrie,238,0.054311788
2475,Saguenay-Lac-Saint-Jean,238,0.054065807
2435,Montérégie,238,0.05390286
2433,Centre-du-Québec,238,0.053565618
2465,Abitibi-Témiscamingue,238,0.053220429
1230,Annapolis Valley,111,0.053170482
2460,Outaouais,238,0.053085653
2470,Mauricie,238,0.052765707
4610,Southeast / Sud-est,112,0.052761944
4620,South Central / Centre sud,111,0.052607268
4680,North / Nord,331,0.052350539
1250,Halifax,238,0.052349689
1010,Avalon Peninsula,238,0.05213702
4810,Lethbridge-Medicine Hat,238,0.052087145
3580,Stratford-Bruce Peninsula,238,0.051745748
4740,Yorkton-Melville,238,0.051504212
4620,South Central / Centre sud,333,0.051016218
