Place,Year,GDP,GHG,Spread
0 British Columbia,2005,100,100,30.2
0 British Columbia,2006,104.42,97.1,30.2
0 British Columbia,2007,107.69,98,30.2
0 British Columbia,2008,108.46,98.6,30.2
0 British Columbia,2009,105.87,93.2,30.2
0 British Columbia,2010,108.89,92.5,30.2
0 British Columbia,2011,112.21,94.2,30.2
0 British Columbia,2012,114.85,95.4,30.2
0 British Columbia,2013,117.41,97.2,30.2
0 British Columbia,2014,121.72,97.1,30.2
0 British Columbia,2015,124.19,95.5,30.2
0 British Columbia,2016,127.67,99.7,30.2
0 British Columbia,2017,132.4,102.1,30.2
0 British Columbia,2018,135.8,105.6,30.2
1 Alberta,2005,100,100,16.1
1 Alberta,2006,106.35,102.6,16.1
1 Alberta,2007,108.22,106.7,16.1
1 Alberta,2008,109.97,104.4,16.1
1 Alberta,2009,103.87,101.2,16.1
1 Alberta,2010,109.03,103.6,16.1
1 Alberta,2011,116.07,107.5,16.1
1 Alberta,2012,120.61,113.1,16.1
1 Alberta,2013,127.49,117.4,16.1
1 Alberta,2014,135,119.3,16.1
1 Alberta,2015,130,119.1,16.1
1 Alberta,2016,125.51,114.3,16.1
1 Alberta,2017,131.53,117.3,16.1
1 Alberta,2018,133.6,117.5,16.1
2 Saskatchewan,2005,100,100,14.4
2 Saskatchewan,2006,98.52,98.7,14.4
2 Saskatchewan,2007,102.19,101.9,14.4
2 Saskatchewan,2008,107.55,102.9,14.4
2 Saskatchewan,2009,101.81,101.4,14.4
2 Saskatchewan,2010,106.57,101.1,14.4
2 Saskatchewan,2011,112.2,100.2,14.4
2 Saskatchewan,2012,114.11,102.9,14.4
2 Saskatchewan,2013,121.58,106.1,14.4
2 Saskatchewan,2014,124.03,110.1,14.4
2 Saskatchewan,2015,122.98,113.4,14.4
2 Saskatchewan,2016,122.89,109.5,14.4
2 Saskatchewan,2017,125.01,112.7,14.4
2 Saskatchewan,2018,126.7,112.3,14.4
3 Manitoba,2005,100,100,25.7
3 Manitoba,2006,103.66,100.9,25.7
3 Manitoba,2007,106.32,103.4,25.7
3 Manitoba,2008,110.2,102.3,25.7
3 Manitoba,2009,110.03,96.2,25.7
3 Manitoba,2010,112.73,95,25.7
3 Manitoba,2011,115.43,93.8,25.7
3 Manitoba,2012,118.93,100.4,25.7
3 Manitoba,2013,122.38,104,25.7
3 Manitoba,2014,124.9,103.7,25.7
3 Manitoba,2015,126.44,102.4,25.7
3 Manitoba,2016,128.27,103.7,25.7
3 Manitoba,2017,132.3,103.2,25.7
3 Manitoba,2018,134,108.3,25.7
4 Ontario,2005,100,100,40.3
4 Ontario,2006,101.87,95.6,40.3
4 Ontario,2007,102.67,97.6,40.3
